,Route,Sh,Amount,Shipping Type Code,Shipping Type Description,Weight,Vol,Vehicle Pallet Capacity (Pallet floor space),MoT,Vehicle Classification,Temp,Truck Size,Truck Type Short Form,Unnamed: 10,Truck Type,Weight Tons,Case Capacity,Pallet,Loose Case Loading/Unloading  Time (hr),Loose Case Loadiong /Unloading producivity (case/hr),Pallet Unloading producivity (Pallets/Hr)
942,IDA098,GI,4500.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
962,IDA099,GI,4500.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
968,IDA100,9F,4500.0,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
982,IDA100,GI,4500.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
1003,IDA101,GI,4500.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
1022,IDA102,GI,4500.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
1043,IDA103,GI,4500.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
1047,IDA104,9F,4500.0,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
1058,IDA104,GI,4500.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
1063,IDA105,9F,4500.0,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
1082,IDA105,GI,4500.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
1086,IDA106,9F,4500.0,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
1097,IDA106,GI,4500.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
1101,IDA107,9F,4500.0,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
1118,IDA107,GI,4500.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
1124,IDA108,9F,4500.0,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
1141,IDA108,GI,4500.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
1146,IDA109,9F,4500.0,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
1161,IDA109,GI,4500.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
1268,IDA149,GI,4500.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
1291,IDA150,GI,4500.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
1314,IDA151,GI,4500.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
1336,IDA152,GI,4500.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
1358,IDA153,GI,4500.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
1381,IDA154,GI,4500.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
1469,IDA159,GI,4500.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
1491,IDA160,GI,4500.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
2776,IDA370,GI,4500.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
3180,IDA418,9F,4500.0,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
3193,IDA418,GI,4500.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
3197,IDA419,9F,4500.0,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
3209,IDA419,GI,4500.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
3461,IDA462,GI,4500.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
