Index,Old Truck Type,Old Truck Type Description,New Truck Type,New Truck Type Description,Count,Savings
71,9S,VAN 3000KG 5M3,9A,COLT 5000KG 10M3,9,"689,661"
72,9I,Small Van,9S,VAN 3000KG 5M3,8,"409,909"
73,9A,COLT 5000KG 10M3,9I,Small Van,1,"362,818"
74,9Z,Small Van,9A,COLT 5000KG 10M3,2,"201,336"
75,9P,TRONTON 15T 30M3,9N,TRONTON 15T 28M3,3,"194,329"
76,9Z,Small Van,9I,Small Van,1,"91,433"
77,GC,COLT 5T 10M3,9B,COLT 6100KG 10M3,1,"37,750"
78,GM,"EXP SHUTTLE 40"" CONT",9K,JUMBO 20T 40M3,1,"15,374"
79,9I,Small Van,GB,VAN 3T 5M3,1,"13,544"
80,GD,ENGKEL 12T 23M3,9J,ENGKEL 15T 28M3,1,"3,962"
81,9Z,Small Van,9B,COLT 6100KG 10M3,4,648
82,9A,COLT 5000KG 10M3,9A,COLT 5000KG 10M3,1458,0
83,9G,ENGKEL 12T 23M3,9G,ENGKEL 12T 23M3,850,0
84,9I,Small Van,9I,Small Van,962,0
85,9K,JUMBO 20T 40M3,9K,JUMBO 20T 40M3,1312,0
86,9S,VAN 3000KG 5M3,9S,VAN 3000KG 5M3,2633,0
87,GC,COLT 5T 10M3,GC,COLT 5T 10M3,564,0
88,9D,CONTAINER 18T 28M3,9D,CONTAINER 18T 28M3,621,0
89,9F,CONTAINER 26T 55M3,9F,CONTAINER 26T 55M3,8,0
90,GH,"CONTAINER 20""",GH,"CONTAINER 20""",1646,0
91,GJ,"RAIL CONTAINER 20"" ",GJ,"RAIL CONTAINER 20"" ",223,0
92,GG,EXTRA JUMBO 30T 60M3,GG,EXTRA JUMBO 30T 60M3,315,0
93,GI,"CONTAINER 40""",GI,"CONTAINER 40""",731,0
94,9H,ENGKEL 12T 24M3,9H,ENGKEL 12T 24M3,3,0
95,9N,TRONTON 15T 28M3,9N,TRONTON 15T 28M3,40,0
96,GD,ENGKEL 12T 23M3,GD,ENGKEL 12T 23M3,165,0
97,GF,JUMBO 20T 40M3,GF,JUMBO 20T 40M3,2526,0
98,9P,TRONTON 15T 30M3,9P,TRONTON 15T 30M3,28,0
99,9M,JUMBO 20T 54M3,9M,JUMBO 20T 54M3,7,0
100,GE,TRONTON 15T 30M3,GE,TRONTON 15T 30M3,359,0
101,9Z,Small Van,9Z,Small Van,43,0
102,GK,"RAIL CONTAINER 40"" ",GK,"RAIL CONTAINER 40"" ",611,0
103,GM,"EXP SHUTTLE 40"" CONT",GM,"EXP SHUTTLE 40"" CONT",93,0
104,GO,"EXP IC CONTAINER 40""",GO,"EXP IC CONTAINER 40""",132,0
105,HN,"IC PELNI CONT 20"" ",HN,"IC PELNI CONT 20"" ",1142,0
