Index,Route,MoT,Temp,BaseCost,Volume,Check in Date,Weight,OldShipmentCount,netVol,netWeight,New_SH,New_BC,NewShipmentCount,Savings
25,IDA230,Land,Ambient,50183161,152915164.55,2017-03-09,61992.0,4,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",651000.0,31.0,"49,532,161"
26,IDA091,Land,Ambient,46603162,316307802.02000004,2017-04-11,115509.0,9,0.0,0.0,"GG,GG,GG,GG,GG",25000.0,5.0,"46,578,162"
27,IDA095,Land,Ambient,46064845,316266353.61,2017-03-31,112419.0,9,0.0,0.0,"GG,GG,GG,GG,GG",25000.0,5.0,"46,039,845"
28,IDA154,Land,Ambient,46075356,498531324.2110001,2017-04-26,185955.0,18,0.0,0.0,"GG,GG,GG,GG,GG,GG,GG,GG",40000.0,8.0,"46,035,356"
29,IDA020,Land,Ambient,84629226,748686526.1079994,2017-02-06,343557.0,96,0.0,0.0,"9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H",40002187.5,33.0,"44,627,038"
30,IDA091,Sea,Ambient,44496000,164829500.25,2017-02-14,58623.0,3,0.0,0.0,"9F,9F,9F",13500.0,3.0,"44,482,500"
31,IDA149,Land,Ambient,43695000,359927834.56,2017-02-23,134670.0,9,0.0,0.0,"GG,GG,GG,GG,GG,GG",30000.0,6.0,"43,665,000"
32,IDA145,Land,Ambient,43884957,117690331.7,2017-02-14,43501.0,3,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",396000.0,24.0,"43,488,957"
33,IDA154,Land,Ambient,42639647,364021234.95800006,2017-04-27,138021.0,11,0.0,0.0,"GG,GG,GG,GG,GG,GG",30000.0,6.0,"42,609,647"
34,IDA137,Land,Ambient,43015258,79102332.16,2017-02-04,25995.0,2,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",444000.0,16.0,"42,571,258"
35,IDA137,Land,Ambient,43015258,79995367.45,2017-02-11,25910.0,2,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",444000.0,16.0,"42,571,258"
36,IDA039,Land,Ambient,42917748,76910761.03999999,2017-02-09,30995.0,2,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",360000.0,16.0,"42,557,748"
37,IDA145,Land,Ambient,42256638,119862048.04,2017-02-07,51160.0,3,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",396000.0,24.0,"41,860,638"
38,IDA353,Sea,Ambient,41700000,138949138.46,2017-03-29,55527.0,5,0.0,0.0,"9F,9F,9F",21000.0,3.0,"41,679,000"
39,IDA095,Land,Ambient,40561515,229762375.08,2017-02-14,79596.0,6,0.0,0.0,"GG,GG,GG,GG",20000.0,4.0,"40,541,515"
40,IDA145,Land,Ambient,40628319,119017415.81,2017-02-26,45452.0,3,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",396000.0,24.0,"40,232,319"
41,IDA282,Land,Ambient,40732819,159817664.68,2017-02-24,60805.0,4,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",528000.0,32.0,"40,204,819"
42,IDA282,Land,Ambient,40732819,159994553.13,2017-03-17,67249.0,4,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",528000.0,32.0,"40,204,819"
43,IDA282,Land,Ambient,40732819,159766823.42000002,2017-03-25,59567.0,4,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",528000.0,32.0,"40,204,819"
44,IDJ218,Land,Ambient,41002441,57345432.230000004,2017-03-25,27369.0,2,0.0,0.0,"9P,9P",1430000.0,2.0,"39,572,441"
45,IDA353,Sea,Ambient,39000000,139635844.56,2017-03-22,61711.0,5,0.0,0.0,"9F,9F,9F",21000.0,3.0,"38,979,000"
46,IDA154,Land,Ambient,38992962,336212419.92200005,2017-03-10,123778.0,19,0.0,0.0,"GG,GG,GG,GG,GG,GG",30000.0,6.0,"38,962,962"
