Index,Route,MoT,Temp,BaseCost,Volume,Check in Date,Weight,OldShipmentCount,netVol,netWeight,New_SH,New_BC,NewShipmentCount,Savings,Updated Base Cost
24,IDA448,Sea,Ambient,98200000,55986062.65,2017-02-01,23605.0,2,0.0,0.0,"9D,9D",47098500.0,2,51101500.0,47098500.0
25,IDA230,Land,Ambient,50183161,152915164.55,2017-03-09,61992.0,4,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",651000.0,31,49532161.0,651000.0
26,IDA091,Land,Ambient,46603162,316307802.02000004,2017-04-11,115509.0,9,0.0,0.0,"GG,GG,GG,GG,GG",25000.0,5,46578162.0,25000.0
27,IDA095,Land,Ambient,46064845,316266353.61,2017-03-31,112419.0,9,0.0,0.0,"GG,GG,GG,GG,GG",25000.0,5,46039845.0,25000.0
28,IDA154,Land,Ambient,46075356,498531324.2110001,2017-04-26,185955.0,18,0.0,0.0,"GG,GG,GG,GG,GG,GG,GG,GG",40000.0,8,46035356.0,40000.0
29,IDA020,Land,Ambient,84629226,748686526.1079994,2017-02-06,343557.0,96,0.0,0.0,"9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H",40002187.5,33,44627038.5,40002187.5
30,IDA091,Sea,Ambient,44496000,164829500.25,2017-02-14,58623.0,3,0.0,0.0,"9F,9F,9F",13500.0,3,44482500.0,13500.0
31,IDA149,Land,Ambient,43695000,359927834.56,2017-02-23,134670.0,9,0.0,0.0,"GG,GG,GG,GG,GG,GG",30000.0,6,43665000.0,30000.0
32,IDA145,Land,Ambient,43884957,117690331.7,2017-02-14,43501.0,3,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",396000.0,24,43488957.0,396000.0
33,IDA154,Land,Ambient,42639647,364021234.95800006,2017-04-27,138021.0,11,0.0,0.0,"GG,GG,GG,GG,GG,GG",30000.0,6,42609647.0,30000.0
34,IDA137,Land,Ambient,43015258,79102332.16,2017-02-04,25995.0,2,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",444000.0,16,42571258.0,444000.0
35,IDA137,Land,Ambient,43015258,79995367.45,2017-02-11,25910.0,2,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",444000.0,16,42571258.0,444000.0
36,IDA039,Land,Ambient,42917748,76910761.03999999,2017-02-09,30995.0,2,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",360000.0,16,42557748.0,360000.0
37,IDA145,Land,Ambient,42256638,119862048.04,2017-02-07,51160.0,3,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",396000.0,24,41860638.0,396000.0
38,IDA353,Sea,Ambient,41700000,138949138.46,2017-03-29,55527.0,5,0.0,0.0,"9F,9F,9F",21000.0,3,41679000.0,21000.0
39,IDA095,Land,Ambient,40561515,229762375.08,2017-02-14,79596.0,6,0.0,0.0,"GG,GG,GG,GG",20000.0,4,40541515.0,20000.0
40,IDA145,Land,Ambient,40628319,119017415.81,2017-02-26,45452.0,3,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",396000.0,24,40232319.0,396000.0
41,IDA282,Land,Ambient,40732819,159817664.68,2017-02-24,60805.0,4,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",528000.0,32,40204819.0,528000.0
42,IDA282,Land,Ambient,40732819,159994553.13,2017-03-17,67249.0,4,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",528000.0,32,40204819.0,528000.0
43,IDA282,Land,Ambient,40732819,159766823.42000002,2017-03-25,59567.0,4,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",528000.0,32,40204819.0,528000.0
44,IDJ218,Land,Ambient,41002441,57345432.230000004,2017-03-25,27369.0,2,0.0,0.0,"9P,9P",1430000.0,2,39572441.0,1430000.0
45,IDA353,Sea,Ambient,39000000,139635844.56,2017-03-22,61711.0,5,0.0,0.0,"9F,9F,9F",21000.0,3,38979000.0,21000.0
46,IDA154,Land,Ambient,38992962,336212419.92200005,2017-03-10,123778.0,19,0.0,0.0,"GG,GG,GG,GG,GG,GG",30000.0,6,38962962.0,30000.0
47,IDA145,Land,Ambient,39000000,119554163.53,2017-02-16,46573.0,3,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",396000.0,24,38604000.0,396000.0
48,IDA145,Land,Ambient,39000000,119694232.37,2017-03-24,46979.0,3,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",396000.0,24,38604000.0,396000.0
49,IDA145,Land,Ambient,39000000,117790753.69,2017-04-15,46373.0,3,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",396000.0,24,38604000.0,396000.0
50,IDA353,Land,Ambient,37562063,145504056.35,2017-03-08,56288.0,4,0.0,0.0,"9G,9G,9G,9G,9G,9G,9G",49000.0,7,37513063.0,49000.0
51,IDA220,Land,Ambient,37440937,101648954.89,2017-03-15,38779.0,3,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",346500.0,21,37094437.0,346500.0
52,IDA220,Land,Ambient,37440937,117243532.88,2017-03-20,48355.0,3,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",396000.0,24,37044937.0,396000.0
53,IDJ452,Land,Ambient,38283960,53539475.59,2017-03-17,22791.0,2,0.0,0.0,"9P,9P",1430000.0,2,36853960.0,1430000.0
54,IDA091,Sea,Ambient,36180500,137722258.47,2017-02-26,47207.0,3,0.0,0.0,"9F,9F,9F",13500.0,3,36167000.0,13500.0
55,IDA448,Sea,Ambient,83249250,55983582.89,2017-02-02,22387.0,2,0.0,0.0,"9D,9D",47098500.0,2,36150750.0,47098500.0
56,IDA154,Land,Ambient,35416235,452579102.6229999,2017-04-04,170137.0,17,0.0,0.0,"GG,GG,GG,GG,GG,GG,GG",35000.0,7,35381235.0,35000.0
57,IDA091,Land,Ambient,35287500,199555126.60000002,2017-04-23,73615.0,5,0.0,0.0,"GG,GG,GG,GG",20000.0,4,35267500.0,20000.0
58,IDA091,Land,Ambient,35278200,229178866.11,2017-04-27,89989.0,6,0.0,0.0,"GG,GG,GG,GG",20000.0,4,35258200.0,20000.0
59,IDA154,Land,Ambient,35062167,238895091.251,2017-02-11,88646.0,8,0.0,0.0,"GG,GG,GG,GG",20000.0,4,35042167.0,20000.0
60,IDA154,Land,Ambient,34236028,326045462.4289999,2017-03-15,121978.0,15,0.0,0.0,"GG,GG,GG,GG,GG,GG",30000.0,6,34206028.0,30000.0
61,IDA150,Land,Ambient,34210100,199690522.7,2017-02-18,69593.0,5,0.0,0.0,"GG,GG,GG,GG",20000.0,4,34190100.0,20000.0
62,IDA098,Land,Ambient,34165800,159390899.86,2017-04-26,60536.0,4,0.0,0.0,"GG,GG,GG",15000.0,3,34150800.0,15000.0
63,IDA150,Land,Ambient,34032500,199873929.81,2017-02-10,75947.0,5,0.0,0.0,"GG,GG,GG,GG",20000.0,4,34012500.0,20000.0
64,IDA154,Land,Ambient,33775434,406820442.75200003,2017-04-12,157944.0,13,0.0,0.0,"GG,GG,GG,GG,GG,GG,GG",35000.0,7,33740434.0,35000.0
65,IDA154,Land,Ambient,33304508,259757811.03400004,2017-02-25,99306.0,10,0.0,0.0,"GG,GG,GG,GG",20000.0,4,33284508.0,20000.0
66,IDA435,Land,Ambient,46798837,243288307.72599998,2017-03-29,104503.0,48,0.0,0.0,"GF,GF,GF,GF,GF,GF,9S",13537611.75,7,33261225.25,13537611.75
67,IDA154,Land,Ambient,33217389,328518879.40099996,2017-02-10,122222.0,20,0.0,0.0,"GG,GG,GG,GG,GG,GG",30000.0,6,33187389.0,30000.0
68,IDA150,Land,Ambient,32924449,169322135.74,2017-03-14,60782.0,5,0.0,0.0,"GG,GG,GG",15000.0,3,32909449.0,15000.0
69,IDA020,Land,Ambient,77719293,846411561.8929999,2017-02-16,364166.0,75,0.0,0.0,"9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H,9H",44850937.5,37,32868355.5,44850937.5
70,IDA154,Land,Ambient,32888708,327941770.19100004,2017-03-23,118262.0,11,0.0,0.0,"GG,GG,GG,GG,GG,GG",30000.0,6,32858708.0,30000.0
71,IDA282,Land,Ambient,32482128,112454351.91,2017-03-24,37653.0,3,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",379500.0,23,32102628.0,379500.0
72,IDA282,Land,Ambient,32482128,117991608.84,2017-02-10,50327.0,3,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",396000.0,24,32086128.0,396000.0
73,IDA282,Land,Ambient,32482128,118533814.97,2017-02-17,45799.0,3,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",396000.0,24,32086128.0,396000.0
74,IDA390,Land,Ambient,32007222,258792328.23,2017-03-03,100397.0,7,0.0,0.0,"GD,GD,GD,GD,GD,GD,GD,GD,GD,GD,GD,GD",61740.0,12,31945482.0,61740.0
75,IDA282,Land,Ambient,32021855,108845830.05,2017-02-03,39025.0,3,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",363000.0,22,31658855.0,363000.0
76,IDA149,Land,Ambient,31640373,259889444.434,2017-02-13,80351.0,8,0.0,0.0,"GG,GG,GG,GG",20000.0,4,31620373.0,20000.0
